condition,day,bio_rep,tech_rep,progenitors,glial
DMSO,22,4,6,0.24,0.21333333333333335
DMSO,22,4,7,0.13636363636363635,0.2727272727272727
DMSO,22,4,8,0.0625,0.28125
DMSO,22,4,9,0.05454545454545454,0.10909090909090909
DMSO,22,4,10,0.05128205128205128,0.06837606837606838
DAPT,15,4,1,0.07291666666666667,0.17708333333333334
DAPT,15,4,2,0.078125,0.203125
DAPT,15,4,3,0.12987012987012986,0.16883116883116883
DAPT,15,4,4,0.0989010989010989,0.16483516483516483
DAPT,15,4,5,0.11702127659574468,0.1702127659574468
DAPT,15,4,6,0.045454545454545456,0.06060606060606061
DAPT,15,4,7,0.17857142857142858,0.044642857142857144
DAPT,15,4,8,0.05747126436781609,0.11494252873563218
DAPT,15,4,9,0.011363636363636364,0.10227272727272728
DAPT,15,4,10,0.07462686567164178,0.29850746268656714
DAPT,15,4,11,0.14,0.2
DAPT,15,4,12,0.14482758620689656,0.04827586206896552
DAPT,15,4,13,0.15584415584415584,0.05194805194805195
DAPT,15,4,14,0.15625,0.17708333333333334
DAPT,15,4,15,0.07317073170731707,0.17073170731707318
DAPT,22,4,1,0.10344827586206896,0.3275862068965517
DAPT,22,4,2,0.024509803921568627,0.058823529411764705
DAPT,22,4,3,0.023255813953488372,0.27906976744186046
DAPT,22,4,4,0.05128205128205128,0.10256410256410256
DAPT,22,4,5,0.11666666666666667,0.07222222222222222
DAPT,22,4,6,0.053691275167785234,0.1342281879194631
DAPT,22,4,7,0.043478260869565216,0.20869565217391303
DAPT,22,4,8,0.03508771929824561,0.3333333333333333
DAPT,22,4,9,0.03225806451612903,0.6129032258064516
DAPT,22,4,10,0.18181818181818182,0.42424242424242425
DAPT,22,4,11,0.075,0.525
DAPT,22,4,12,0.0625,0.59375
DAPT,22,4,13,0.1111111111111111,0.5185185185185185
DAPT,22,4,14,0.08955223880597014,0.40298507462686567
DAPT,22,4,15,0.08163265306122448,0.4897959183673469
DMSO,15,5,1,0.05333333333333334,0.022222222222222223
DMSO,15,5,2,0.10194174757281553,0.043689320388349516
DMSO,15,5,3,0.038834951456310676,0.05339805825242718
DMSO,15,5,4,0.09811320754716982,0.033962264150943396
DMSO,15,5,5,0.15879828326180256,0.030042918454935622
DMSO,15,5,6,0.09482758620689655,0.04310344827586207
DMSO,15,5,7,0.043689320388349516,0.038834951456310676
DMSO,15,5,8,0.0199203187250996,0.027888446215139442
DMSO,15,5,9,0.016304347826086956,0.059782608695652176
DMSO,15,5,10,0.24336283185840707,0.04424778761061947
DAPT,15,5,1,0.04780876494023904,0.0796812749003984
DAPT,15,5,2,0.017857142857142856,0.16071428571428573
DAPT,15,5,3,0.02054794520547945,0.21232876712328766
DAPT,15,5,4,0.057692307692307696,0.09615384615384616
DAPT,15,5,5,0.01680672268907563,0.15966386554621848
DAPT,15,5,6,0.029411764705882353,0.16666666666666666
DAPT,15,5,7,0.044642857142857144,0.10714285714285714
DAPT,15,5,8,0.06578947368421052,0.08552631578947369
DAPT,15,5,9,0.05913978494623656,0.07526881720430108
DAPT,15,5,10,0.08943089430894309,0.11382113821138211
DAPT,15,5,11,0.05263157894736842,0.15789473684210525
DAPT,15,5,12,0.09036144578313253,0.07228915662650602
DAPT,15,5,13,0.051094890510948905,0.3357664233576642
DAPT,15,5,14,0.061068702290076333,0.3435114503816794
DAPT,15,5,15,0.08633093525179857,0.17985611510791366
