condition,day,bio_rep,tech_rep,neural
DMSO,15,4,16,0.1487603305785124
DMSO,15,4,17,0.04081632653061224
DMSO,15,4,18,0.09818181818181818
DMSO,15,4,19,0.09333333333333334
DMSO,15,4,20,0.11971830985915492
DMSO,15,4,21,0.20175438596491227
DMSO,15,4,22,0.046413502109704644
DMSO,15,4,23,0.12949640287769784
DMSO,15,4,24,0.05142857142857143
DMSO,15,4,25,0.11180124223602485
DMSO,15,4,26,0.20994475138121546
DMSO,15,4,27,0.06756756756756757
DMSO,15,4,28,0.08670520231213873
DMSO,15,4,29,0.04081632653061224
DMSO,15,4,30,0.16560509554140126
DMSO,22,4,1,0.08928571428571429
DMSO,22,4,2,0.28448275862068967
DMSO,22,4,3,0.1794871794871795
DMSO,22,4,4,0.1826086956521739
DMSO,22,4,5,0.1111111111111111
DMSO,22,4,6,0.07692307692307693
DMSO,22,4,7,0.20270270270270271
DMSO,22,4,8,0.18181818181818182
DMSO,22,4,9,0.13709677419354838
DMSO,22,4,10,0.1016949152542373
DMSO,22,4,11,0.24074074074074073
DMSO,22,4,12,0.2909090909090909
DMSO,22,4,13,0.12195121951219512
DMSO,22,4,14,0.02631578947368421
DMSO,22,4,15,0.03773584905660377
DAPT,15,4,1,0.32608695652173914
DAPT,15,4,2,0.31
DAPT,15,4,3,0.27564102564102566
DAPT,15,4,4,0.5903614457831325
DAPT,15,4,5,0.3577981651376147
DAPT,15,4,6,0.24025974025974026
DAPT,15,4,7,0.1736111111111111
DAPT,15,4,8,0.14953271028037382
DAPT,15,4,9,0.10091743119266056
DAPT,15,4,10,0.2540983606557377
DAPT,15,4,11,0.08666666666666667
DAPT,15,4,12,0.2857142857142857
DAPT,15,4,13,0.07407407407407407
DAPT,15,4,14,0.2676056338028169
DAPT,15,4,15,0.24793388429752067
DAPT,15,4,16,0.20689655172413793
DAPT,15,4,17,0.41935483870967744
DAPT,15,4,18,0.29577464788732394
DAPT,15,4,19,0.31007751937984496
DAPT,15,4,20,0.057692307692307696
DAPT,15,4,21,0.9329608938547486
DAPT,15,4,22,0.8450704225352113
DAPT,15,4,23,0.18181818181818182
DAPT,15,4,24,0.8636363636363636
DAPT,15,4,25,0.5657894736842105
DAPT,15,4,26,0.6
DAPT,15,4,27,0.21839080459770116
DAPT,15,4,28,0.22
DAPT,15,4,29,0.5528455284552846
DAPT,15,4,30,0.6129032258064516
DAPT,22,4,1,0.15625
DAPT,22,4,2,0.5594405594405595
DAPT,22,4,3,0.5982142857142857
DAPT,22,4,4,0.648936170212766
