condition,day,bio_rep,tech_rep,total_cells,total_hucd,neurons_percentage,contaminants_percentage
dapt,15,5,5,214,106,49.53271028,50.46728972
dapt,15,5,6,177,57,32.20338983,67.79661017
dapt,15,5,7,188,115,61.17021277,38.82978723
dapt,15,5,8,138,74,53.62318841,46.37681159
dapt,15,5,9,141,76,53.90070922,46.09929078
dapt,15,5,10,84,57,67.85714286,32.14285714
dapt,15,5,11,158,83,52.53164557,47.46835443
dapt,15,5,12,134,80,59.70149254,40.29850746
dapt,15,5,13,163,72,44.17177914,55.82822086
dapt,15,5,14,109,33,30.27522936,69.72477064
dapt,15,5,15,163,70,42.94478528,57.05521472
dapt,22,5,1,96,88,91.66666667,8.333333333
dapt,22,5,2,142,100,70.42253521,29.57746479
dapt,22,5,3,134,118,88.05970149,11.94029851
dapt,22,5,4,64,33,51.5625,48.4375
dapt,22,5,5,135,111,82.22222222,17.77777778
dapt,22,5,6,110,89,80.90909091,19.09090909
dapt,22,5,7,90,62,68.88888889,31.11111111
dapt,22,5,8,84,80,95.23809524,4.761904762
dapt,22,5,9,67,46,68.65671642,31.34328358
dapt,22,5,10,83,75,90.36144578,9.638554217
dapt,22,5,11,127,73,57.48031496,42.51968504
dapt,22,5,12,76,58,76.31578947,23.68421053
dapt,22,5,13,74,56,75.67567568,24.32432432
dapt,22,5,14,68,47,69.11764706,30.88235294
dapt,22,5,15,149,141,94.63087248,5.369127517
